Feature,Horizontal Absolute Difference,Vertical Absolute Difference,Feature Influence,Feature Weight
Authority__column,0.056058464739334755,0.040581562633106485,-0.838689316633065,-0.5017696351260138
Cohort__column,0.0,0.0,0.0,NaN
Degree__column,0.05280239798622157,0.017718619312152614,-0.3988729050835775,-0.22706325486621254
Hub__column,0.07934540972409912,0.04672932048904556,1.5598136570884102,0.8136474572191664
In-Degree__column,0.04185810810810796,0.04080644154547125,0.8719583703496774,0.4594114951100569
NumPosts__column,0.08437042925278222,0.06124361775170145,1.5547330376415023,0.810994921518875
Out-Degree__column,0.04249779189040803,0.0035024863128143985,-1.08814079031266,-0.6746583821767629
Post Density__column,0.11549221410121893,0.011831917815866587,-0.6286207355134136,-0.36657700716319536
Post Duration__column,0.23124277478268415,0.07717207020620431,2.1615620118336825,1.1375719441068126
Subthreadstarter__column,0.04928457869634341,0.060483115910367646,-0.0033223159690620317,-0.0018292710938705263
Threadstarter__column,0.13848701642819292,0.002471755820485644,-0.022569765422974435,-0.012444432658334103
Week__column,1.9477212506624273,0.14220086136945254,0.6110145969119739,0.32493211251240445
